Time,Volume,Open,High,Low,Close
2018-11-19 13:11:55,1,112.798,112.798,112.798,112.798
2018-11-19 13:12:00,1,112.795,112.795,112.795,112.795
2018-11-19 13:12:20,1,112.792,112.792,112.792,112.792
2018-11-19 13:12:30,1,112.795,112.795,112.795,112.795
2018-11-19 13:12:35,1,112.792,112.792,112.792,112.792
2018-11-19 13:12:40,2,112.795,112.795,112.792,112.792
2018-11-19 13:12:45,1,112.795,112.795,112.795,112.795
2018-11-19 13:12:50,2,112.798,112.798,112.796,112.796
2018-11-19 13:12:55,2,112.798,112.798,112.795,112.795
2018-11-19 13:13:00,1,112.798,112.798,112.798,112.798
2018-11-19 13:13:10,2,112.800,112.802,112.800,112.802
2018-11-19 13:13:15,1,112.806,112.806,112.806,112.806
2018-11-19 13:13:20,4,112.802,112.806,112.800,112.806
2018-11-19 13:13:25,1,112.803,112.803,112.803,112.803
2018-11-19 13:13:30,2,112.800,112.800,112.798,112.798
2018-11-19 13:13:35,1,112.800,112.800,112.800,112.800
2018-11-19 13:13:45,2,112.798,112.798,112.795,112.795
2018-11-19 13:14:05,1,112.792,112.792,112.792,112.792
2018-11-19 13:14:10,1,112.796,112.796,112.796,112.796
2018-11-19 13:14:15,1,112.798,112.798,112.798,112.798
2018-11-19 13:14:20,4,112.796,112.796,112.788,112.788
2018-11-19 13:14:25,1,112.791,112.791,112.791,112.791
2018-11-19 13:14:40,1,112.793,112.793,112.793,112.793
2018-11-19 13:15:00,3,112.791,112.791,112.788,112.790
2018-11-19 13:15:05,1,112.788,112.788,112.788,112.788
2018-11-19 13:15:15,1,112.786,112.786,112.786,112.786
2018-11-19 13:15:20,1,112.788,112.788,112.788,112.788
2018-11-19 13:15:30,1,112.790,112.790,112.790,112.790
2018-11-19 13:15:35,1,112.788,112.788,112.788,112.788
2018-11-19 13:15:45,1,112.790,112.790,112.790,112.790
2018-11-19 13:15:50,1,112.788,112.788,112.788,112.788
2018-11-19 13:16:00,1,112.790,112.790,112.790,112.790
2018-11-19 13:16:05,1,112.788,112.788,112.788,112.788
2018-11-19 13:16:15,1,112.790,112.790,112.790,112.790
2018-11-19 13:16:20,1,112.788,112.788,112.788,112.788
2018-11-19 13:16:25,2,112.790,112.793,112.790,112.793
2018-11-19 13:16:30,1,112.791,112.791,112.791,112.791
2018-11-19 13:16:40,1,112.788,112.788,112.788,112.788
2018-11-19 13:16:50,1,112.791,112.791,112.791,112.791
2018-11-19 13:16:55,1,112.788,112.788,112.788,112.788
2018-11-19 13:17:00,2,112.786,112.786,112.783,112.783
2018-11-19 13:17:35,1,112.780,112.780,112.780,112.780
2018-11-19 13:17:40,1,112.783,112.783,112.783,112.783
2018-11-19 13:17:50,1,112.780,112.780,112.780,112.780
2018-11-19 13:18:15,1,112.783,112.783,112.783,112.783
2018-11-19 13:18:35,1,112.780,112.780,112.780,112.780
2018-11-19 13:18:45,1,112.778,112.778,112.778,112.778
2018-11-19 13:19:05,1,112.776,112.776,112.776,112.776
2018-11-19 13:19:15,2,112.778,112.781,112.778,112.781
2018-11-19 13:19:20,1,112.784,112.784,112.784,112.784
2018-11-19 13:19:25,1,112.782,112.782,112.782,112.782
2018-11-19 13:19:35,1,112.784,112.784,112.784,112.784
2018-11-19 13:19:40,1,112.786,112.786,112.786,112.786
2018-11-19 13:19:50,2,112.789,112.789,112.786,112.786
2018-11-19 13:19:55,1,112.783,112.783,112.783,112.783
2018-11-19 13:20:00,3,112.780,112.780,112.774,112.774
2018-11-19 13:20:05,3,112.772,112.777,112.772,112.777
2018-11-19 13:20:10,1,112.774,112.774,112.774,112.774
2018-11-19 13:20:15,1,112.777,112.777,112.777,112.777
2018-11-19 13:20:25,1,112.774,112.774,112.774,112.774
2018-11-19 13:20:35,2,112.777,112.777,112.774,112.774
2018-11-19 13:20:45,3,112.772,112.772,112.770,112.772
2018-11-19 13:20:50,1,112.770,112.770,112.770,112.770
2018-11-19 13:21:00,2,112.772,112.774,112.772,112.774
2018-11-19 13:21:05,2,112.772,112.774,112.772,112.774
2018-11-19 13:21:10,1,112.771,112.771,112.771,112.771
2018-11-19 13:21:35,1,112.768,112.768,112.768,112.768
2018-11-19 13:21:40,2,112.771,112.771,112.768,112.768
2018-11-19 13:21:45,1,112.771,112.771,112.771,112.771
2018-11-19 13:21:50,2,112.774,112.774,112.771,112.771
2018-11-19 13:21:55,6,112.768,112.768,112.758,112.760
2018-11-19 13:22:05,2,112.764,112.764,112.761,112.761
2018-11-19 13:22:20,3,112.764,112.766,112.763,112.763
2018-11-19 13:22:25,1,112.760,112.760,112.760,112.760
2018-11-19 13:22:30,1,112.763,112.763,112.763,112.763
2018-11-19 13:23:00,2,112.766,112.768,112.766,112.768
2018-11-19 13:23:15,1,112.765,112.765,112.765,112.765
